action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_assumption,context
2026-02-18|F|2026-02-18T09:30:00-05:00|long|12,2026-02-18,F,2026-02-18T09:30:00-05:00,long,12,0.4711335301399231,True,next_bar_open_if_replayed,"{'pressure_k': -17500.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.3465346534653465, 'micro_off': -0.0045833333333327175, 'spread_mean_10s': 0.017435897435897064, 'depth_imb_k_mean_10s': -0.33497574317834733, 'depth_imb_k_mean_60s': 0.298260984795447, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:31:00-05:00|long|8,2026-02-18,F,2026-02-18T09:31:00-05:00,long,8,0.5615453720092773,True,next_bar_open_if_replayed,"{'pressure_k': -18600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.4305555555555556, 'micro_off': 0.0033333333333356308, 'spread_mean_10s': 0.012000000000000099, 'depth_imb_k_mean_10s': -0.20635766943499903, 'depth_imb_k_mean_60s': -0.2020042156557446, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:32:00-05:00|long|12,2026-02-18,F,2026-02-18T09:32:00-05:00,long,12,0.5263028144836426,True,next_bar_open_if_replayed,"{'pressure_k': -8000.0, 'spread': 0.019999999999999574, 'depth_imb_k': -0.1593625498007968, 'micro_off': 0.001612903225806761, 'spread_mean_10s': 0.016499999999999647, 'depth_imb_k_mean_10s': -0.24011815781235554, 'depth_imb_k_mean_60s': -0.2040872262758183, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:33:00-05:00|short|8,2026-02-18,F,2026-02-18T09:33:00-05:00,short,8,0.44239047169685364,True,next_bar_open_if_replayed,"{'pressure_k': -3900.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.08571428571428572, 'micro_off': 0.0016666666666669272, 'spread_mean_10s': 0.009999999999999787, 'depth_imb_k_mean_10s': -0.06773780544258443, 'depth_imb_k_mean_60s': -0.10502027231536418, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:34:00-05:00|short|5,2026-02-18,F,2026-02-18T09:34:00-05:00,short,5,0.724344789981842,True,next_bar_open_if_replayed,"{'pressure_k': 3900.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.07344632768361582, 'micro_off': 0.0035999999999987153, 'spread_mean_10s': 0.009999999999999787, 'depth_imb_k_mean_10s': 0.05879304403658807, 'depth_imb_k_mean_60s': 0.055672778881363925, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:35:00-05:00|long|5,2026-02-18,F,2026-02-18T09:35:00-05:00,long,5,0.5381031632423401,True,next_bar_open_if_replayed,"{'pressure_k': 11700.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.17972350230414746, 'micro_off': 0.0020666666666677713, 'spread_mean_10s': 0.010000000000000937, 'depth_imb_k_mean_10s': 0.15501379112328975, 'depth_imb_k_mean_60s': 0.19675839324025338, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:36:00-05:00|long|12,2026-02-18,F,2026-02-18T09:36:00-05:00,long,12,0.5363892912864685,True,next_bar_open_if_replayed,"{'pressure_k': 7300.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.11145038167938931, 'micro_off': 0.0044117647058836695, 'spread_mean_10s': 0.01724999999999923, 'depth_imb_k_mean_10s': 0.10079798955692923, 'depth_imb_k_mean_60s': 0.13293743029933117, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:37:00-05:00|long|12,2026-02-18,F,2026-02-18T09:37:00-05:00,long,12,0.4929791986942291,True,next_bar_open_if_replayed,"{'pressure_k': 1700.0, 'spread': 0.010000000000001563, 'depth_imb_k': 0.030303030303030304, 'micro_off': 0.0033544303797459207, 'spread_mean_10s': 0.010000000000001563, 'depth_imb_k_mean_10s': 0.03449973159010824, 'depth_imb_k_mean_60s': 0.10894779013422286, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:38:00-05:00|long|5,2026-02-18,F,2026-02-18T09:38:00-05:00,long,5,0.5738116502761841,True,next_bar_open_if_replayed,"{'pressure_k': 2100.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.04656319290465632, 'micro_off': 0.0, 'spread_mean_10s': 0.010000000000000942, 'depth_imb_k_mean_10s': -0.007269402112535772, 'depth_imb_k_mean_60s': 0.023652550439135545, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:39:00-05:00|long|12,2026-02-18,F,2026-02-18T09:39:00-05:00,long,12,0.5715475678443909,True,next_bar_open_if_replayed,"{'pressure_k': -2400.0, 'spread': 0.010000000000001563, 'depth_imb_k': -0.05042016806722689, 'micro_off': -0.0033333333333338544, 'spread_mean_10s': 0.01000000000000103, 'depth_imb_k_mean_10s': 0.007855713805543018, 'depth_imb_k_mean_60s': -0.015805014322814184, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:40:00-05:00|long|12,2026-02-18,F,2026-02-18T09:40:00-05:00,long,12,0.43503424525260925,True,next_bar_open_if_replayed,"{'pressure_k': -4600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.10900473933649289, 'micro_off': -0.0013636363636368998, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.11110704237096343, 'depth_imb_k_mean_60s': -0.0717695413955808, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:41:00-05:00|long|12,2026-02-18,F,2026-02-18T09:41:00-05:00,long,12,0.4568576514720917,True,next_bar_open_if_replayed,"{'pressure_k': -3600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.0625, 'micro_off': -0.0020967741935482564, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.02314844626091191, 'depth_imb_k_mean_60s': -0.030299625756179144, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:42:00-05:00|long|12,2026-02-18,F,2026-02-18T09:42:00-05:00,long,12,0.4606258273124695,True,next_bar_open_if_replayed,"{'pressure_k': 4100.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.06581059390048154, 'micro_off': 0.003200000000001424, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': 0.06258453790026124, 'depth_imb_k_mean_60s': 0.013847815294783163, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
